id,latitude,longitude,code_postal,region,ville
21887,43.635198023,3.966850731,34130,occitanie,st aunes
21888,43.239292289,0.7221332490000001,31350,occitanie,saman
21889,43.610499377,3.558716432,34230,occitanie,st bauzille de la sylve
21890,43.266735911,0.94952948,31420,occitanie,samouillan
21891,43.900428053,3.759520177,34190,occitanie,st bauzille de putois
21892,43.590208887,1.724359339,31460,occitanie,saussens
21893,43.784212727,3.384876802,34700,occitanie,st etienne de gourgas
21894,46.250451343,3.745468978,3120,auvergne-rhône-alpes,andelaroche
21895,43.372340457,1.099712504,31370,occitanie,saveres
21896,49.7460229,4.38145913,8290,grand est,marlemont
21897,43.839145739,3.314234431,34520,occitanie,st felix de l heras
21898,46.673263785,3.161980354,3460,auvergne-rhône-alpes,aubigny
21899,43.147653844,0.5422221540000001,31580,occitanie,sedeilhac
21900,43.687908166,3.00302073,34610,occitanie,st genies de varensal
21901,46.461030035,2.559263936,3190,auvergne-rhône-alpes,audes
21902,43.689912607,1.356681491,31840,occitanie,seilh
21903,43.753438808,4.020443419,34160,occitanie,st hilaire de beauvoir
21904,42.954985893,0.784072399,31160,occitanie,sengouagnet
21905,43.752077408,3.833622848,34270,occitanie,st jean de cuculles
21906,46.583673012,3.051887032,3160,auvergne-rhône-alpes,bourbon l archambault
21907,43.083514186,0.981780039,31260,occitanie,touille
21908,43.709907333,3.430383047,34700,occitanie,st jean de la blaquiere
21909,43.596037953,1.432094901,31400,occitanie,toulouse
21910,43.585039258,2.902164999,34390,occitanie,st julien
21911,46.176564412,3.668403554,3120,auvergne-rhône-alpes,le breuil
21912,43.433886726,1.465914719,31810,occitanie,venerque
21913,43.655916955,4.112473707,34400,occitanie,st just
21914,43.527981233,1.438021655,31320,occitanie,vieille toulouse
21915,49.702516325,4.3292065,8220,grand est,montmeillant
21916,43.844745752,3.505947226,34190,occitanie,st maurice navacelles
21917,46.024708955,3.752252425,3250,auvergne-rhône-alpes,la chabanne
21918,43.407244657,1.659327462,31290,occitanie,vieillevigne
21919,43.844745752,3.505947226,34520,occitanie,st maurice navacelles
21920,46.236036911,3.15949516,3140,auvergne-rhône-alpes,chantelle
21921,43.687997953,1.066400099,31480,occitanie,vignaux
21922,43.759359598,4.05080178,34160,occitanie,saussines
21923,43.507585426,1.448233908,31320,occitanie,vigoulet auzil
21924,43.33011498,2.663218426,34210,occitanie,siran
21925,46.160385868,3.393089826,3110,auvergne-rhône-alpes,charmeil
21926,43.750576792,1.491182001,31380,occitanie,villaries
21927,49.35763664,4.78278584,8250,grand est,olizy primat
21928,43.890909603,3.40687359,34520,occitanie,sorbs
21929,43.8319727,1.435539794,31620,occitanie,villaudric
21930,49.419730639,4.095006623,8190,grand est,poilcourt sydney
21931,43.521837544,3.468017401,34230,occitanie,usclas d herault
21932,46.397163609,3.63314167,3220,auvergne-rhône-alpes,chatelperron
21933,43.122320671,0.6699340020000001,31800,occitanie,villeneuve de riviere
21934,49.68042958,5.088698402,8140,grand est,pouru st remy
21935,43.660692335,3.962638292,34740,occitanie,vendargues
21936,46.608268123,3.564621011,3230,auvergne-rhône-alpes,chevagnes
21937,43.729963381,0.444247533,32360,occitanie,antras
21938,49.925987781,4.414951884,8230,grand est,regniowez
21939,43.313064786,3.399143783,34450,occitanie,vias
21940,46.213042527,3.111706795,3140,auvergne-rhône-alpes,chezelle
21941,43.522126356,0.097048963,32230,occitanie,armentieux
21942,49.784178279,4.547044894,8150,grand est,remilly les pothees
21943,43.540031171,3.000384115,34390,occitanie,vieussan
21944,46.612253913,3.459026556,3230,auvergne-rhône-alpes,chezy
21945,43.572846789,0.186719969,32230,occitanie,armous et cau
21946,43.619109637,3.121353565,34600,occitanie,villemagne l argentiere
21947,43.360461707,0.5833988360000001,32140,occitanie,arrouede
21948,49.484698295,4.635677882,8130,grand est,rilly sur aisne
21949,43.317205211,3.28983071,34420,occitanie,villeneuve les beziers
21950,46.253055185,3.146088128,3140,auvergne-rhône-alpes,deneuille les chantelle
21951,43.832603215,0.41902492,32410,occitanie,ayguetinte
21952,49.784792829,4.502023684,8150,grand est,rouvroy sur audry
21953,46.344905624,3.799562179,3130,auvergne-rhône-alpes,le donjon
21954,43.85844041,-0.025361059,32800,occitanie,ayzieu
21955,49.670071314,5.12820301,8110,grand est,sachy
21956,46.142049361,3.268161344,3110,auvergne-rhône-alpes,escurolles
21957,43.693135122,-0.212697773,32720,occitanie,barcelonne du gers
